perfil_seguidores2,numero_seguidores2
samuka.novinho,84
gilb.erto3739,48
mulherunhas_,83
luciana_silva301,23
brunof246,395
moraes.piscinas,64
karolsantinhos,182
carol_sl3,56
saraagomesx,51
facahortanaofacacova,41
alexsonfil,75
jadenyukianikee,62
ailt_onvieira,78
_eloracolucci_,68
pousada.serena,129
robertmendesjunior,123
lovejoiasmania,51
branco_ssss,58
ariana_grande_fcn,110
ritasouza4107,34
juliaalmeidaxx2,58
o_cara_dos_criativos,95
alerquina_gt,139
anapatriciamachadopinheiro,164
raquelsanntoss.s,190
btjuliana0,118
seu_treino_diario,54
jessica_lemitz,42
fatimalira369,57
tonigabrielsantos,45
jeffjj707,152
sgabi0234,63
loucos.pela.claudinha,84
cristinazilma11,111
foto.praiana,48
eduardocosta_deoliveira,71
alvesjanycleia,0
arctrurian,63
giovana.rim1,47
tudonosso023,221
cuidadocomoloiro,30
luasilva541,56
morriganmitchel,105
restrit0_61,322
pam.ella07,66
helenadz23,59
cessao,60
queridaa.boutique,83
leomastro.2020,59
maquiagem835,189
jaque46806,68
pri_ncessbubble,639
sorayatamy,100
alinedamasceno81,478
rodrigopensador0,59
gael.lens,34
san_drabarros,78
anna2bolsas,34
antoniofjc25,128
miauzinho2021,98
jamires.suelem,113
joaomig_p,147
telemarketing49,58
bernardob070,53
kamilyy_love,46
nicolaspassos31,48
bazaronline389,69
tudonacarteira,145
julianasalles87,27
isinhas411,120
elso.n98,480
jess2pi,56
sempreajudandoamamae,43
usuario_chique,120
bezinha33b,52
amormaior60,50
alice_johnsonn1,116
mundofofo62,46
biamacedofg,60
matheusduarte226,77
littleic2112,78
nicolyreix,852
adlibertos_emcristo,45
casa_dobrilho92,56
lidianabeka,206
toquio_narobi_,306
projetodoarccoracao,701
liliansanm24,232
brunayumi2,196
viviherondale19,24
kazibrightmist,24
nataliavariedades91,80
__erica_02_,98
caio.092020,42
asmaislindasplantas,79
mhtche11,130
tatooarte58,50
carlamariana627,143
rafa_silvakaka,436
rnsilva77,159
vaianittabr1,83
mulheres_superpoderosas2021,56
faclubedabruna1,65
pizzaspock,98
andrecristiano70,309
paraisos36,42
maario03mendito,106
tonysfreitaa,148
vanessapradelle,97
iris_kkatia,67
along.amentodeunhacurso,62
carminha8363,82
cleycianematiascosta,105
rodrigosantana562,67
_buscando.deus,75
felipe.motiva,64
ana_rrttt,314
joaozinhoshow15,39
joonathan_02_,35
brigadeirocarira,29
palomasilvaa08,94
fotostumblr7989,167
diadefraseamor,67
isabella_poarch,135
ivani9403,201
nasc.imento706,98
almarrr61,80
comediaseries10,58
mirian_7890,125
carlosluis5431,157
santos_cristina7,138
aline_gif,0
_agoramaedaisa,8531
fernadtata,62
norbanyes,50
giov.annagomes_,119
luccarenato42,42
janarosalino,866
tommy_shelbypb9,125
ah.puh,72
vando7628,85
flashlight391,39
ota_vio2021,64
aofritu,94
marcelo.antonio1515,115
_zeus.capa,272
maralina22,40
marianabernadi09,81
zueirainfinita4,41
rodriguesermelindo905,180
natalice_busto,189
naty_larah0854,48
mariafrancisca4855,81
vivv.iii,106
samanthabernades21,63
marivissole,58
adriana_ferreira789,107
severino.dog,68
gabizinha1026,55
luiz.40000,68
barren_martins,1460
demi.fas24,46
vida.fitnessxs,35
insp.iracaolooks2020,77
peedrao_lins,0
tejanopaula509,33
_saramb08,84
tielytavares,66
vndsvandis,419
euro.relogio,368
guerreiro2.0,104
julia__bellini1,74
ferreiraayasmiin,101
gilbertinafonseca,44
mikael_slvan,152
rafaeldias861,59
rappiozark,94
akanehomura,96
sramosd1,68
analarissaoliveira275,58
fernandacunh1,121
isadora_goncalves201,90
nandalopes55,67
tacioc407,103
chazzprincetonfiver,59
chiaraaltieribaby,109
jeryss2,122
crochej.s,85
alahemvish,42
mirela.ga,74
beatrizlsiqueira,60
fla138216,135
mayra_queiroz0219,98
meme_s4294,808
jessica_ad455,50
anacostapng,89
fatimaromerro,181
ya_dantas1,70
josilenegrazi,55
pazzeequilibrioo,61
lupita__gomes,93
fernaandavilas_,697
carlosricardo.keh,44
kronosbr,120
laryv.iana,62
colors.color_,61
ferreirasaby,55
alyedja_chaves,768
larissa_goncalves_b,56
ceciliaferreira317,110
alanzuareth267387,92
junioramorim839,14
caio71229,85
lukasmama2020,40
anabanana954,194
klauss590,57
rafaelacarl1,133
dicaprasecar17,56
oliveiraedivaldoaparecidode,49
_cachosdivinoss,68
alvessherzinha,20
angelaregeamsilva,73
isabelmartins71389,41
aniinhaaa21,72
adeilton.300,90
robert.gonsalves02,47
av.cursomake,0
naoseioqueescrever005,218
deza_brito_,52
lucimarah_7,51
camila_campos.1,202
frases_verdadeiras56,140
meg37linda,871
mercio72021,61
carla_roson02,47
fidelastof,72
gustavo_sccp_lhp,77
mariafernanda_oficial_19,51
ana_laura_0183,103
iel201993,298
makeartefa,159
joalisson142,127
dudasilva6810,104
dizu_blobs_auto,93
mariapaulados34,108
ritt_lane43,48
yuriii33333,165
josianeoliveirainsta,57
kar12917,60
vinimsantinho,52
vanderleygameplay,47
cois.asvida,999
mayara_xd3,406
carlos_eduardo11a,54
b.oliveirank,66
frases_de_deussss,91
adrianofwork2,56
makeu_p1love,62
lucax_zued,92
lorena_motasz,79
88ellyss,72
amendobobo97,62
flavia_silva.1,73
refoco.escolar,150
lovevirginia248,44
art.teixeira12,40
ralp42,73
ponesiocaio,78
angeliica2021,62
paganini_fc,53
receitas_da_deborah,93
marcellyramos28,64
luara_nathaline,108
nivalmir.jr.33,115
ingrid_me.lo,746
o_famosin_do_yt,146
agatamorais_2,86
jessicaferrari261,7239
barbara.veloss,84
series.online1.0,62
luciocargo19,67
bia.larcerda,34
an_na.laura,56
bluec3317,50
tomas09879,143
jorgeps2021,115
jequitinovobrasil,21
deus.imarc,75
g4mer_sprts,48
beijoterias33,166
pedrosalles100,43
ynara_dutra7808,99
yuanelira,132
fernandeshenrique446,39
izabelfreitaz_,45
biancaaalimooo,85
giovanasilvacard,105
glaucia7396,110
bond9_7,54
lari_santos_of,72
bbslove8r,40
wendy_bpnation,117
filmes_deterror,83
selenagomespl,74
giulalen,49
emilesantanna,21
raholiveira11,67
deilanascimento20,112
joel.moser.9250,56
elisandrobarbosa1,510
joaquimsilvano73,73
italogreg2021,46
claudi9188,118
orlando_correiaa,68
xamecarde0017,37
mat_eusfonseca,45
aninhabbw,0
fabriciomoura2021,50
ferr_eiraflavio,373
alcilanefariasss,31
katiaalvez4,5087
jeniferpalma0,141
marcosfeijoh,47
gisaabreu131,134
catarinasilveiraa0,66
indis1122,94
fabyr_ibeiro,51
ivonemodeloslook,77
jaquelinebraya,29
silasantonioprofessor,127
nova.niv,51
josi.e7483,89
1970dutra,61
euro.saflor,38
elisangelamartins251,73
marcospaulocarvalh_,99
brendogudman_eri,80
mariaclaudia165,53
tafarel_aldo,104
ferrobertah,43
xand_js,72
goiabas_nm2,89
dinho.147,142
liane27145,54
inspira._makes,41
alice32785,83
alex.sandro_25,49
vivi_silva_crr,163
ulanaprt,61
clubemss,34
cristianoliver941,119
faclubedobabal,81
jrs5417,73
vandameroberto,80
kamilakamila0001,43
francocastro411,115
banshee1657,24
sadddstory666,46
juniorsiqueira683,45
sabr_ina5270,111
ana25_2525,56
status.de.hoje,48
l.aprata925,128
michellyfreire114,70
rimisergio,163
anjo2021ze,47
bellapratas.store,80
ioturtn,188
kaiolacerda07,176
doeu50,117
olhape,55
evaaraujo1997,2900
luhpereira12_,2516
bostasue,299
vitor_tm,78
joao02057,34
biaga_biii,467
seguidorx1,48
boloschocolate321,96
hamburguer4324,62
melody.soreto25,36
llauramelllo,33
carollina_sanch,101
livros999999,50
marianasantanaofc456,51
nathaliaarruda17,126
motos_mts,1546
gata8698,142
_jammzzx,56
patri_cia5498,122
verdade615,157
dalva20219,139
brasilbellascullen,5772
sabrina.oliveira420,447
faclubecristiano.ronaldo,88
gabyalmeidaofci,232
amelia.bulgary,35
joselimaa12,106
brpoker365,61
jacyh71,100
mya.paivva,158
cabelosdiva1,68
lavismelo007,474
thetlmelady,148
raqueloliveira7530,59
jair_bolsonaroma,56
jo.aolucas222,134
_lindas_flores_,50
francinefortaleza,84
sabrina.feiticeira,101
pauloh1929,64
emiliane262,114
allanafigattotsdc,111
filip.e6,40
manoelandre88,54
asher535815,38
tvweb13,71
mariantonieta573,23
marianalmarinho,127
cesar20cm,60
jenifer_desouza.13,125
sigodevolta338,63
galileunas,53
lkmnoh,118
larissaa.2220,1583
hugo.jv1,91
faclubeluisasonza12,47
bs435174,52
ferreirakarineamorim,44
lusulihf,74
jordanvildo,44
pequim188,79
de.maria20,43
pame.alsajneid23,42
ka.freitass_,210
twdfas2020,52
lindasdoinstragam,103
vanslojabr_,102
naturezaebela71,56
fernandolavega.m,99
karollimaofci,43
namaria1998,209
juan_antoneo,30
cruelves,150
lanaradelimadasilva,1100
alinne.slv7,89
coringa9787,62
vini40084,52
jasmineefuentes,100
jp0622551,87
malulima451,57
matheusmg24,154
caiofaclubedo,56
alice_nicole25,124
perfs.novo.004,429
maria_bia015,38
nailsdala_,51
tatutop96,32
zerobyte2000,118
faclubedosbastiao,37
betinagranconato,121
iv.ana1349,68
branco.__paz,131
miriam.vasconcelo0,50
ranny_fire,242
art_hurmanoel,123
fidelizigor,74
carol.ina8538,42
alfredotaiga,38
amanda_31004,32
flav.ia5078,50
marcos.g789,94
lucir522,81
junina937,40
gloriadasilva21,94
ferroviario_1,41
karo.lalves22,157
danielazinha.ofc,168
ssssimoonn_11,46
ozeane38,963
faclubelarissamanu12,85
raveempipa,41
conselhosanitta,63
gangbug133,81
diuli.c,55
mariaeduarda1235935,60
elis.abete771,68
ivanjunior67y,139
julichichett,163
victorsimon18,240
fc_looney_tunes_baby,233
fabi0xa,62
edwardelrichfiveranikee,34
kalinecosta2021,80
maria_77632,71
helem801,69
13.souzaan,86
fcdacarladiaz,179
lowclaraks,38
mariaencantadamaria,97
raphaelparanhoscosta,93
samara.roberta3,70
linooutlier,53
alice.silvaof1,53
lua_ny123,113
rebeccasilva1464,201
andreagomez_of,55
oliveiraeustaquioferreirade,10
andr_iamar,48
valentiamendes,76
elisa_2el,503
aninhalago36,109
melissa_batista9091,112
emilysantana80,57
jane_juia,96
ianjhon29,76
bitencourtgiovanna542,90
thynd.thynd,51
suel.len280,42
alicescortez2,131
alvesmartajb,112
jasonferreiraff,79
niikj8,0
lauradaltt,58
arianapequena7,172
mariinapsouza,49
hiiarleyy_santos,252
juliete8937,54
personalize.angelo,111
aishalym0,59
heelenadaluz,160
gabriela_17623,67
laah_rio,86
brendaemprota,6
raphattorres,77
flaviabroodep,77
_salgados20,79
luci.bezrr,88
ganharseguidores1.000,108
angelamaria1660,62
bellin_xx,76
analuyzac.fcbr,325
maria_silva_liza,20
annacarolinna_____,84
victoriaperes45,52
sagitariannana,48
kleber.lopessy,73
adrianabrazsg,166
caleb.trages,72
rodriguesderek62,126
maysegreto,83
mila2_356,127
nay_santo.s,607
phsimpt,75
otis_022,119
mor_fin0,78
mari.madura,58
crispimentap,325
investimentos829,54
gleicecaterine,39
thomas_cox13,54
gambumbia,117
cicerosb68,125
v8_pintura,273
ryan21959,65
divulgamakes1,80
lucy1alves,95
lbreipro,76
fsoficial.5,159
mmbelchior2,649
juliafcc5,110
kiki241218,59
marciarpm3,84
anajuliatrader098,34
fc_ncsi,50
jeilo_motos,62
pietroo17,91
winx_club.fans,28
brunnynnhoh7,101
janetede517,69
vitoriacastro318,53
lima_e_neguinha,104
angergelpos,54
goiabas_zx2,88
tatasfco,118
jonfcc5,107
maisafcc1,325
deus54616,26
anaterrapijamas,67
bruno_4273,77
joaq.uina58,110
novinha_travessa,53
harlbell,37
maltildabim,522
josepenteado8,104
mariinanina_,163
carlos.eduardo1921,76
jhanasilvasilva,161
marc.ia8302,93
thiaguinho461,73
parafraquejarosjoelhos,95
foraa.fiuk,67
raphsooth8965,123
vestidosmamamia,31
bbboficial_tretas,125
godiane1,30
wedila7,185
amorimziinho,128
valbarboza3,104
fatimasabelamanuela,60
anapaula18821,57
vini.negrrao,170
sari.9157,55
empatiaao,64
jamerson_matiass,70
aragao8235,153
megamassaslove,35
xccac.tus,2107
kaiojun004,85
pudimohamster,103
amor.por.cinthiacruz,45
belasdoinsta0,46
vitaomgtow,87
gilso_n8,49
alan.a2519,156
carol13613,74
rosaefon,129
marlosaira,70
gentilseja,124
anna.cecyllya,215
mari.nho16,134
olaalvessandra,49
velhinhos_fofos1,109
jotappew,233
helenacrystine,96
alanzuareth7,37
reus.tt,328
edgaralvarez.220,67
bakurafiver,131
pedro__de__alcantara,53
juninho202182,64
comida.brasileira1,677
sarahcastroreal,85
lilivencedora,63
flamengo.aqui.ofc,132
decoracao.decasamentos,50
fadatik98,43
depressivo_ht,56
jefersonalbuquerque21,44
bests_te,19
luccasilva709,40
menesesmeneses00,149
snooow.25,132
moda.sfemin,53
camilakirate,45
evellindepaula,81
gienetty,250
nick.euzx,75
felipecris59,656
espaco_menina_moda_intima,95
_86jun,68
jonny15164,117
antoniassane6,65
mex5150,226
lara.olimor,41
bocarosa386,89
douglaslereiradasilva,109
amora.alves1,35
fw_0005,27
mateusgoller1,38
lucas_viana_ofc_18,55
ademilda12,147
palomasilva484,51
flavianarodfla,65
obrabodofreefirebr,457
samara.reis5,71
tylermiguel07,1044
lucianorogadodasilva,57
playy_5,51
fanclubescarlettjo,99
calis2army,81
samy.cvalho,63
fc.sarahbbb21,59
mentalidadeemilionariaa,39
anne__surtada,75
liker.lk44,247
comidas.gostosas1,66
dizu07conta,64
gostos18__,59
nails20212021,253
juliano_bryan_,8
martamartins8863,50
trigger_codm,109
docespalavras.__,57
beat.rizsilva451,110
laisortigia2,165
agataleiria,32
limasantos30a,68
frases.para.hj,54
mykon.r,368
cintia.mdk,72
umconto_deamor,5
naiarashiva91,239
tainafc2021,300
_rafinha1914,52
alicercedoamor,76
laurawilsonn2020,27
ricardinhoorz,65
pretinha433,58
atavaderos,54
arq.marioo,64
3manuelpereira,128
alleoliveiracm___,85
pregado_d.junior,173
jeffjj5,74
ligya682,74
galaxya_aa,53
dizulover,246
humberto_graca213,54
tvweb12,77
anasoarez9,62
baby.estilo123,100
julysophiaa_,62
duuduuhp1,44
_juann06,73
leonardofranco474,84
lean.dro9935,34
moniquesanchezxx,69
akira_ange,51
fla.mengolove1,155
guilh.erme675,60
caylane8617,115
sophieleonorgarcia,68
moraes_anirak,66
tamy0__,85
eu_tiagosouza,72
makes_baphos,96
marcella_gomes09,44
gisematos2,181
best.carbr,115
324thomasshelby,47
juliana620ca,37
nanda_corronel,53
brasilnegocios775,133
brunarocha695,369
krauzerays,82
doguinh0os,47
faclubegiovana12,49
lunamaria991,38
luzdosol0891,301
modafemininna2020,98
chhtavares,109
alcantarageovana51,72
ideias_tattoo2021,83
berco1998,56
stellamonteiroda,65
mi_ukulele,98
valdira795,309
richard.maximo86,42
pasteis_re2,105
myukkt,146
bruna.aretha1,0
simonelinhas2,68
novoclico,62
alicenovaesg,81
janainatrafd,102
hiper.produtos,67
pordosol_em_poa,75
euamoajaneausten,64
gretaluigi,314
imjadeye,39
guiisilvaa05,35
adryanlm11,29
va_nda8607,93
suzanasouza902,167
natalymariano223,67
bbmarx13,135
blogpassagenspromocao,201
taissahotmail,99
fariab666,80
jacksonquirino23,58
allrobz5,126
meguylima,157
amandalim669,138
vitube2124,0
leandro.rocha73,8531
talitaferreira882,62
plutao_m.m,50
snooow.12.0,119
laurarebeca235,42
belinha8507,865
brenohenriquebores,125
6risos9_2,72
jennifersantos7733,90
loirasgirls,46
ranamahyra3,51
jujur_odri,35
cintiasabrinaz,47
sofiasouzacris,48
1aatrox.lol,110
fecrista12,447
raianana01,81
mari.fx_ff,69
silvajessydasilvasantos,64
empreendendoesurpriendendo,63
milasofers,77
alveluc_,106
moodpalet,319
amorporyasmin,133
benebatista2021,53
luffytaro359,140
bruna.4200,0
joquimbarbosa32,39
debuguei,85
nepratasefolheados,37
ricaritt,193
cris_car51,115
phbioterio,575
amand______a,561
devplaybr,51
andreguedesofc,73
uma_saopaulinaa,69
dbcloudtreinamentos,183
data_science_with_me,139
guilherme_p4a,87
pf_americanbully,185
gariinvestidor,0
tatianaacedo,151
vibe.dev,115
icods_tech,67
sharkjmpreaal,107
ironwomanmd,50
futuro_python_sejadev,81
sevillakitsch,37
usandopython,56
valeyouapp,80
investindo_em_conhecimento12,633
_informatizado,47
3cores1torcida,64
vagatech,27
fogonacarne.oficial,107
rainbowfallsoficial,99
codigoexpresso.dev,73
codercrypt.ent,252
ro_driiigo_galdini,204
henriquewilliantc,143
cassi.asilvaa,60
vivaweb_,165
su1000fps,57
bruno_miami.1,84
boraprogramaroficial,42
eng.lean,84
meme_programado,70
curiosidadeemdestaque,31
juliacage890,297
andreiamonteiro1345,48
thainacamargoart,61
akyra.amstaff,144
perfildedev,66
thaissouza2724,214
maisquevisual,6896
programador.surtado,107
monicasilvacruz223,97
sitedosobrinho,49
minastestingconference,84
sumtechcode,67
zappkode,83
clubecyber,74
paporeto.pdc,25
barzinholeo,60
devopsbootcamp,75
diego_holigari,137
ruigiovanes,1326
trader.frustrado,41
hackdados,61
curiosidade_do_universo,52
thcreator_,124
billyamstaff,86
w.rodrigook,54
gianini.raffael,78
dayane_leite_,23
monteiros697,109
gabriele_francine,52
cheflucianocarlos,171
margarida.ribeiro.9693,104
jee_andreza,34
leamaralrocha26,34
brunokiedis,28
engenhariasenac,90
_lu_faria_,150
danielsantana1736,508
prof_felipellima,166
bsdux,71
renan.diogo_,636
luizcarlos.insta,50
casalgotrek,56
minhastack,53
andreycodes,94
kellyfcsantos,33
peeh_vinte9,75
fabiopireslinux,85
lindodesever2020,468
cjrtechnology,105
colougrudou,139
brutiwi,91
engenheirofuleiro,561
mundo.dos.iphoness,72
ogabrielverso,60
mauriciosena13,134
escolasmartdata,213
delttatecnologia,53
primelinecaps,193
tecnopontatreinamentos,112
eletricabasica.oficial,141
wtf.scrum.master,17
desenvolvendofuturos,161
profcodinhoto,88
devlandia,147
eu.datascience,43
elisamamary_,131
jheny_nunes02,63
thata_souza,117
meninah.dev,49
babioliveira_c,10
je_palacio,42
thayrinne_c03,142
jhenny.cris10,262
herbertmelosp,62
king_capsp,76
fdm_conceito,184
marcus_vinicius_bossi,49
robertabeatrizsantos,43
projetodofacaobem,84
desenvolvedormaster,90
tecnologiadainformacaopro,82
onsdiego,59
josepescadordeassis,67
athaliacosta,43
vvnge,46
phdoido46,93
amadinha_sena,72
tolentinositsolutions,43
dubit0x.hacking,66
jl_artigosfemininos,32
jhoon_jhooow,485
bortolottoengenharia,89
estacao.android,62
eddi_garage,158
pepezin_do_tenis,16
negodooug,95
start_vc,91
dapcursos,93
eicdigital,245
fourtime,64
lefossato,12
bonesoutlet10,107
loisesteves,83
guaranipremoldados,32
datahero.br,83
o.programador.oficial,31
jmessias_carvalho,77
mellanina.oficial,45
escoladatascience,162
suplementacaopesada,58
dicasdodev,40
kawan_costa_,50
lucas_oficial_369,112
deboramioto,31
palpitetricolor,39
dev.objetivo,93
saara_krueger,100
guiasql,53
leonardo.melo.br,61
antunes.dev,48
novaeratecinfo,222
dev_tecnologia,81
guardaroupadosmantos,48
sembugsnocodigo,54
rodrigocostha,164
irisrodriguesadoradora,56
studio.deisy,75
apostdesportiva,100
financeiramente10,171
devprogramar,44
tradermilionario.insta,45
mila.desingsp,73
algamish_,84
central_spfc,685
chavinho_peralta,141
monis.app,126
boladodev.io,55
vidas.milionarias,199
melotechnology,79
ofutebolvivencia,71
guiadoti,40
petiscandocomcelia,52
ti.mundo,81
cidinhahome,177
lucasbeccari_personal,47
beloo.357,35
gaabis.dutra,137
l.amour_pratas,91
amanda.nascimento.10690,154
boralaaprogramar,68
inglesfluente.now,122
rafael_vin,118
murilosoares_mkt02,76
eu.rafaellamonier,111
biancarodrigues498,78
nathanieljordan7,49
gabr13lr,79
mazady_pro,109
iamteachermatt,89
promoname_,30
devops_bootcamp,73
prof.luanhenrique,130
ana_luisa_oliveira_16,76
burraesforcada,522
barbeariacapaoredondo,92
aviradapodcast,183
lucasmedeirosdev,45
oliversbarbeariasp,971
leriamandreh,57
vapor_e_sabor_sp,82
priscilinh_ofc,69
cro.che.re,50
renatamoliveira28,24
vendeseconta_vendoconta_conta,67
devbugado,76
cod.eng,50
lagriffe61,73
brefarfoglia,58
laaari_lima,84
_ficaadica.cursos,106
stteh.o,120
sujeitoprogramador,62
nkmassist,71
dhyaazstoreoficial,204
timbacozinhaebar,48
sardinhasdoibov,41
prodmultimidia,84
everbreakss,59
rrfsolucoes,19
azevedoeletrica20,89
aprendeae,153
pizztochef,87
verdadesqueninguemfalou,111
weronica_marilia,41
_padariasaopedro,86
_guilhermepedroso,253
loucos.web,25
acasadafeijoada78,80
jeanjesusmartins,57
igorhellostudy,50
aprender1novo_idioma,76
inglescommarquinho,47
anapaulaapn92,159
doralice.carlos,85
cortanavirus,732
___lf7___,76
felima11_,217
jami.ly16,32
vida_piccolo,80
universo_da_ti,42
tatipqueiroz,103
kibatata8,318
valenbabby__,81
biancaterenzzo,96
bruno.torrento,30
jess_goliveira,114
istagramer167,72
castoverflow,68
agentefranca,159
inteligencia.artificial.ia,103
beerandcode_oficial,343
thv_ariedades,102
andressanapolitano.leite,53
evoluir_recruiter_tech,62
centro_vincit,83
rsbrenan,54
orafatrix,52
guimaraesmkt,89
entredevs,88
ingles_ti,26
felipe_rodrygues_,46
aprender.programacao,169
eu.vitorlima_oficial,34
setupnoid,111
aapppoker,78
wordpressors,161
cursos_de_programacao,426
instajehfreitas,52
toddynho.gameplay,89
theairship_br,98
josemarramosrosa,201
oprogramadorcurioso02,81
tiva.hyppe.app,110
cidadedopoker,86
eniopinho,116
theluxdrinks,59
karolg.arcia,80
franklinneris,60
danillollins,39
pizza_hot2020,49
es_forte_es_grande,69
loja_monstyle,61
k2.consulting,39
pamela.maciel.167,62
biiahairb,106
_theenglishstudent,161
washingtonlimacordeiro,51
projetoeuvoceeosamba,50
__karool,53
olavo830,82
rhuanls,48
eduardoaparecido.ferreira,96
viniciuscolecao,136
deuza1969,70
italorodrigues.7,74
lana.donati,86
samiraign,186
harleymonteiro,282
rafaelaneress,185
maricaldas95,70
sabrinnacintra_,58
sadadezaatotal,128
jujupereirarocha,71
carl_araujo58,60
barbaros_rota55,149
santos.iaraalvesdos,27
fabicolossio,72
tiaguinho_rr,275
ppaulorobson,110
desativadooooooooo123111,50
andresaricele,77
fabifeldhaus,159
pequenoalangabriel,445
beniciosouza_lima_,9
tiago_digital_marketing,88
zahrahsports,93
mentalidade_de_engenheiro,20
enoov.me,114
brasiltopviagens,94
irssacod,156
felima10_,35
guhh01,46
trabalharnoseuaoficial,99
gus_thug,123
aldemkd,108
lq_apostasbr,28
geovanimktdigital,111
barbearia_seu_mois,26
gui_neguim_,148
rafa_moret,841
_sareis,109
viictoria.ar,105
winmilionario_br,871
priscillarib_09,53
clubedoholder,103
liberdadefinanceira01,65
onfire_tips,226
digitalmarketingrafael,132
_dra.laisasouza,108
victorvidalll,79
ojpalmeida,57
agirafinhaoff,151
cornmithussnakes,174
nicks_mattos,156
segredosdosenac,87
ivan___brito,136
dan_vasconcelos_1998,39
ddnjjhvddx,116
joneszbatera,132
leticiaamaralestetica,0
viniciusfrancaoficial,129
gisele.dlima,52
glaucocolecaospfc,126
spfcraridades,118
arenafuracao,76
tih_yazigi,63
nataliasilvatata,52
amanda.faoli,180
katiasantos_1976,162
fr.ar,98
elli.cardoso,55
felipe.o_brabo,208
cardoso.mariana27,94
endao___,40
fernandanandajll,117
san.nathali,56
taaahcardoso,71
gabrdno,69
nathsluck,73
pamelasilva2112,124
neny.gomes.31,109
